mack,nam,quy,eps,roe,roa,pb,pe,lnst_yoy,nophaitra_vcsh,vonhoa_tts
PDR,2024,1,71.17424891,0.005480061,0.002477261,2.566261936,447.4933067,1.345796971,1.224936356,1.098123738
PDR,2024,2,56.96806914,0.004824066,0.002264305,1.962285313,416.0225256,-0.819455669,1.04783459,0.918110493
PDR,2024,3,58.68064136,0.004641991,0.002265759,1.853850696,383.431392,-0.496360398,1.049676231,0.866847893
PDR,2024,4,1.747548342,0.000141034,6.69E-05,1.705151944,11845.16589,-0.994482985,1.168968036,0.753536957
PDR,2025,1,57.95945743,0.004567068,0.002150309,1.586503384,333.8540569,-0.038354699,1.079058307,0.731570884
PDR,2025,2,71.56124459,0.005651883,0.002742749,1.436830654,252.2314991,0.303679687,1.04342841,0.675941029
PDR,2025,3,87.56574069,0.007215207,0.003542188,2.001097609,267.7987968,0.676430906,1.030487978,0.947660959
PHR,2020,1,1522.798275,0.078045914,0.036751018,1.66473643,21.67063132,0.88875042,1.017473001,0.79912995
PHR,2020,2,2433.417901,0.11722831,0.05950301,2.2500369,20.42394772,4.234543247,0.927678774,1.129150205
PHR,2020,3,1217.559364,0.053383501,0.028145336,2.505203388,47.88267555,-0.640442752,0.867412882,1.293357482
PHR,2020,4,2799.840325,0.121140619,0.062980742,2.670640226,22.50128317,NULL,0.978874318,1.304248951
PHR,2021,1,618.2290074,0.026689617,0.01410612,2.471554509,94.46337732,-0.581637159,0.805503664,1.321158035
PHR,2021,2,563.1137878,0.025256886,0.013467644,2.55614923,100.5125451,-0.763593252,0.94965054,1.260502742
PHR,2021,3,1070.179557,0.053271118,0.028056641,2.26793105,49.05718825,0.004005083,0.850265065,1.171123355
PHR,2021,4,1747.568621,0.074290851,0.039252956,3.232582604,40.79954238,-0.404017964,0.937326139,1.603493434
PHR,2022,1,2177.793948,0.091990298,0.049180603,3.338517427,37.10176534,2.382925712,0.809158418,1.783882826
PHR,2022,2,379.7459018,0.016386487,0.009180856,2.675174799,171.1670875,-0.313352784,0.760755069,1.462023669
PHR,2022,3,897.3127782,0.040068379,0.0233852,2.169420177,61.40556708,-0.176520185,0.668277722,1.246779777
PHR,2022,4,3079.811035,0.122531437,0.069884189,1.625761149,12.79299267,0.812352282,0.842241958,0.843589915
PHR,2023,1,1682.357005,0.065753311,0.037219203,1.549623691,23.86532696,-0.219198528,0.695849315,0.874669016
PHR,2023,2,897.7078765,0.035515737,0.020865136,1.880965831,51.6871927,1.281552621,0.708757366,1.049755833
PHR,2023,3,894.9870228,0.040019786,0.023982831,1.822577695,52.96166178,0.027799453,0.630821266,1.061686267
PHR,2023,4,1098.488439,0.041478619,0.025558773,1.847272659,45.24399007,-0.637438477,0.615141187,1.093137671
PHR,2024,1,539.3181855,0.020336388,0.012911391,2.323742567,118.4829322,-0.664103584,0.535885311,1.445540089
PHR,2024,2,476.9453473,0.01783083,0.011737079,2.15555787,127.058583,-0.447828179,0.502862991,1.369764889
PHR,2024,3,725.293193,0.025780002,0.017311037,2.080263397,82.72516629,-0.278328602,0.475932648,1.345637343
PHR,2024,4,1653.659435,0.057427618,0.038429691,1.927131354,32.17107397,0.474472009,0.513598029,1.215213252
