date,mack,open,high,low,close,volume
4/21/2025,VHC,46870,47060,45420,45420,808100
4/22/2025,VHC,44550,45180,42280,42280,1782900
4/23/2025,VHC,43490,44160,42810,43490,2012300
4/24/2025,VHC,43490,46530,43490,46530,2182000
4/25/2025,VHC,47450,48710,46970,48030,1789500
4/28/2025,VHC,48320,48320,46340,46390,1708200
4/29/2025,VHC,46870,48170,46680,48030,923100
5/5/2025,VHC,48220,48320,48030,48170,993300
5/6/2025,VHC,48800,50160,48610,49960,1621500
5/7/2025,VHC,49960,50060,49000,50060,949000
5/8/2025,VHC,50350,50930,49770,49960,885500
5/9/2025,VHC,50250,50740,48800,49960,1135300
5/12/2025,VHC,49960,51030,49580,51030,1190600
5/13/2025,VHC,52180,53440,51800,53250,2718500
5/14/2025,VHC,52960,53050,51890,52960,1478700
5/15/2025,VHC,53150,53150,51510,52090,1427000
5/16/2025,VHC,52090,52090,51030,51030,1444100
5/19/2025,VHC,50540,51510,50350,50450,918800
5/20/2025,VHC,50250,53540,50250,52570,2155600
5/21/2025,VHC,52860,52860,51510,51990,798400
5/22/2025,VHC,52380,52380,51320,51320,915100
5/23/2025,VHC,51030,51410,50740,50830,649800
5/26/2025,VHC,50830,54310,50640,54310,2501400
5/27/2025,VHC,57500,57500,56050,56440,2470100
5/28/2025,VHC,56440,56630,54700,54990,1754900
5/29/2025,VHC,56440,56440,55280,55760,1161600
5/30/2025,VHC,55470,55470,53630,53630,1933400
6/2/2025,VHC,53630,53830,52670,53830,1070300
6/3/2025,VHC,54310,54600,53830,54310,583000
6/4/2025,VHC,54310,55370,53920,54020,753600
6/5/2025,VHC,54310,54600,53440,54500,905900
6/6/2025,VHC,54890,54890,53830,53920,514700
6/9/2025,VHC,53250,53340,52180,52180,777800
6/10/2025,VHC,52280,52670,51990,52090,612800
6/11/2025,VHC,52570,52570,51700,51800,473400
6/12/2025,VHC,51890,52960,51890,52280,533100
6/13/2025,VHC,51700,53250,51220,51890,1352700
6/16/2025,VHC,51890,52960,51890,52760,664600
6/17/2025,VHC,52860,52960,52090,52380,807600
6/18/2025,VHC,52380,53440,52180,52670,885900
6/19/2025,VHC,52860,52860,51890,52180,554900
6/20/2025,VHC,52180,55760,51890,55660,2892600
6/23/2025,VHC,54700,55180,53630,54700,1795500
6/24/2025,VHC,55660,56050,54600,54790,1718000
6/25/2025,VHC,54990,55660,54600,54990,1349800
6/26/2025,VHC,55080,56920,54600,56530,2483200
6/27/2025,VHC,57110,59630,56240,57690,2244800
6/30/2025,VHC,58270,59720,57600,57690,1578800
7/1/2025,VHC,58180,58180,56050,56920,2112100
7/2/2025,VHC,57110,59630,56730,58760,2744200
7/3/2025,VHC,56820,58850,55080,55470,3745000
7/4/2025,VHC,55570,56530,55470,55860,1211500
7/7/2025,VHC,56920,56920,55570,56050,939600
7/8/2025,VHC,57500,57790,56340,56530,1564500
7/9/2025,VHC,57020,57600,56730,57600,2922900
7/10/2025,VHC,57980,58270,57020,57110,954300
7/11/2025,VHC,57310,57310,56050,56150,1595400
7/14/2025,VHC,56440,56530,55470,55760,948900
7/15/2025,VHC,55950,56630,55660,55760,1114900
7/16/2025,VHC,55660,55760,54990,55180,2026800
7/17/2025,VHC,55570,56240,55370,55660,1149700
7/18/2025,VHC,55570,55950,54500,54990,2661400
7/21/2025,VHC,54990,55660,54990,55280,984900
7/22/2025,VHC,55570,56920,55470,55660,1764500
7/23/2025,VHC,56150,56150,55180,55660,1148800
7/24/2025,VHC,55860,57310,55660,56240,3373800
7/25/2025,VHC,56340,57310,56050,56150,3823100
7/28/2025,VHC,56530,56920,55950,56440,2428800
7/29/2025,VHC,56920,56920,52860,52860,3168400
7/30/2025,VHC,53050,54210,53050,54120,1437600
7/31/2025,VHC,54790,54990,53150,54700,1190600
8/1/2025,VHC,54890,54890,53440,53830,883700
8/4/2025,VHC,54790,56630,54410,56240,2588600
8/5/2025,VHC,56630,57020,54790,56050,3009400
8/6/2025,VHC,56240,58560,55660,58080,3897200
8/7/2025,VHC,58760,58850,57310,57600,1785400
8/8/2025,VHC,58470,58470,55950,56530,2301200
8/11/2025,VHC,57020,57110,56150,56820,1413700
8/12/2025,VHC,56920,57790,56920,57600,1919100
8/13/2025,VHC,57980,60500,57110,60210,5124600
8/14/2025,VHC,60880,60880,58660,59240,1495100
8/15/2025,VHC,59340,59340,56340,57020,2723800
8/18/2025,VHC,57110,57500,55860,56050,1847700
8/19/2025,VHC,56150,57110,55660,56240,1700900
8/20/2025,VHC,56440,57110,54600,55180,1851800
8/21/2025,VHC,55860,55860,53920,54500,1749100
8/22/2025,VHC,54500,55370,53340,53830,1405900
8/25/2025,VHC,54310,55080,53150,53150,1166400
8/26/2025,VHC,53250,55370,53250,55370,1204600
8/27/2025,VHC,55180,55570,54310,54310,1085200
8/28/2025,VHC,54890,56150,54310,55570,761000
8/29/2025,VHC,55860,55950,54890,54990,641300
9/3/2025,VHC,55280,55860,54990,55660,652200
9/4/2025,VHC,56240,56730,55660,56240,1551900
9/5/2025,VHC,56630,57790,56150,56240,1625500
9/8/2025,VHC,56530,57600,56050,56150,2043100
9/9/2025,VHC,56440,56440,55180,56340,1172800
9/10/2025,VHC,56340,56920,56050,56050,964500
9/11/2025,VHC,56150,57890,55950,57690,2374000
9/12/2025,VHC,58370,59340,57790,58080,2517000
9/15/2025,VHC,58660,62140,58470,62140,4817000
9/16/2025,VHC,62430,64070,61850,63490,3266900
9/17/2025,VHC,63490,63780,61950,62040,2327600
9/18/2025,VHC,62140,62720,60400,61370,2234900
9/19/2025,VHC,61370,61750,60210,60300,1586900
9/22/2025,VHC,60300,60690,56530,58370,2779800
9/23/2025,VHC,58560,59720,58180,58850,878400
9/24/2025,VHC,58660,58760,57110,58470,2551700
9/25/2025,VHC,58470,58560,57310,57790,2107700
9/26/2025,VHC,57790,57890,57210,57500,1002000
9/29/2025,VHC,58000,58200,55500,55500,1764900
9/30/2025,VHC,55500,56500,55200,55700,1533400
10/1/2025,VHC,55800,55800,54600,55100,1636900
10/2/2025,VHC,55200,55200,54000,54000,1025300
10/3/2025,VHC,54100,55600,53700,55100,1254200
10/6/2025,VHC,55400,55600,55100,55600,1116700
10/7/2025,VHC,55600,55600,54500,54600,806100
10/8/2025,VHC,55000,55800,54700,55200,1767300
10/9/2025,VHC,55200,55700,55000,55200,586700
10/10/2025,VHC,55300,57400,55200,56500,2239300
10/13/2025,VHC,56000,56700,55900,56500,946200
10/14/2025,VHC,56600,56800,55100,55100,1153200
10/15/2025,VHC,55200,55400,54200,54200,1082000
10/16/2025,VHC,54200,55000,54200,54300,429300
10/17/2025,VHC,54300,55000,54200,54400,618400
10/20/2025,VHC,54800,55200,50700,51900,1466900
10/21/2025,VHC,52600,54000,52100,54000,1033400
10/22/2025,VHC,54700,55600,53900,55600,859700
10/23/2025,VHC,55600,55600,54500,54700,450400
10/24/2025,VHC,54700,55200,53900,54300,528200
10/27/2025,VHC,56600,56600,55300,55300,1072200
10/28/2025,VHC,56000,56200,54600,56200,562200
10/29/2025,VHC,57100,58900,56700,58300,2622000
10/30/2025,VHC,58400,59100,57500,57600,1067400
10/31/2025,VHC,57800,59800,57800,59000,2295300
11/3/2025,VHC,58600,59500,57200,57200,1354000
11/4/2025,VHC,57200,58500,55200,58200,2085000
11/5/2025,VHC,58000,60200,57600,58700,2430200
11/6/2025,VHC,59300,59300,57700,57700,903700
11/7/2025,VHC,57700,57900,55600,56000,1558100
11/10/2025,VHC,55900,57000,55500,56000,929800
11/11/2025,VHC,56300,57100,55900,56800,635900
11/12/2025,VHC,57200,57400,56700,57200,628900
11/13/2025,VHC,57400,59200,57300,58800,2038200
11/14/2025,VHC,58900,59900,58300,58600,1005400
11/17/2025,VHC,59200,59600,58000,58700,1222100
11/18/2025,VHC,59000,61000,58800,60700,4256400
11/19/2025,VHC,60700,60700,58000,58300,2337300
11/20/2025,VHC,58600,58600,57200,57600,1421900
11/21/2025,VHC,57100,58600,56600,58400,1397900
11/24/2025,VHC,58500,58500,57700,58400,648700
11/25/2025,VHC,58500,58500,57000,57500,865000
11/26/2025,VHC,57800,58500,57300,58500,620400
11/27/2025,VHC,58500,59000,57800,57800,535000
11/28/2025,VHC,57700,57900,56600,57600,1214700
1/2/2020,VHM,62310,63040,62310,62600,238600
1/3/2020,VHM,62600,62970,62380,62820,394470
1/6/2020,VHM,62380,62670,61050,61500,1025270
1/7/2020,VHM,61200,62530,61200,61790,590360
1/8/2020,VHM,61200,61570,59730,60830,553690
1/9/2020,VHM,61500,61720,61130,61420,421250
1/10/2020,VHM,61420,62600,60980,62310,699780
1/13/2020,VHM,62530,64000,62310,63630,882160
1/14/2020,VHM,63560,64000,63490,63630,361600
1/15/2020,VHM,63780,63780,63260,63630,420650
1/16/2020,VHM,63710,63710,63340,63490,441860
1/17/2020,VHM,63560,64810,63410,63410,552190
1/20/2020,VHM,63410,63710,63190,63410,711830
1/21/2020,VHM,63410,64520,63410,64520,653680
1/22/2020,VHM,64440,65990,64370,65920,673070
1/30/2020,VHM,64300,64740,63260,64440,1414000
1/31/2020,VHM,64520,65260,64220,64520,1284370
2/3/2020,VHM,61350,63340,60460,62820,755310
2/4/2020,VHM,62820,63780,62670,63190,829790
2/5/2020,VHM,64000,64000,62970,63410,2410370
2/6/2020,VHM,64000,64150,63410,64000,484420
2/7/2020,VHM,64080,64740,64000,64150,587610
2/10/2020,VHM,63490,63930,63260,63560,373600
2/11/2020,VHM,63410,63710,63040,63560,602090
2/12/2020,VHM,63930,63930,63560,63780,395320
2/13/2020,VHM,63560,63710,63040,63410,421050
2/14/2020,VHM,63040,65330,63040,64590,481520
2/17/2020,VHM,64890,64890,63780,63930,164600
2/18/2020,VHM,63850,64150,63120,63410,323870
2/19/2020,VHM,63120,63780,62820,63410,514110
2/20/2020,VHM,63780,64370,63340,64080,271380
2/21/2020,VHM,63780,64080,63410,63490,184170
2/24/2020,VHM,61420,62750,61420,61940,619380
2/25/2020,VHM,60680,61790,59730,61270,410300
2/26/2020,VHM,61200,61200,59210,59650,651880
2/27/2020,VHM,58910,59730,58250,59580,1280250
2/28/2020,VHM,57880,59280,57880,59280,860760
3/2/2020,VHM,58320,59430,58250,59360,447980
3/3/2020,VHM,59360,59800,59140,59360,742520
3/4/2020,VHM,58320,59360,58180,59360,901070
3/5/2020,VHM,59060,60090,59060,59730,361110
3/6/2020,VHM,58990,59650,58250,59650,339740
3/9/2020,VHM,57960,57960,55520,55520,973190
3/10/2020,VHM,52350,56410,52350,56410,1050110
3/11/2020,VHM,56410,56630,52500,56410,932900
3/12/2020,VHM,55670,55670,52500,53090,1161120
3/13/2020,VHM,49400,53090,49400,53090,1337180
3/16/2020,VHM,52350,52940,49770,52940,968810
3/17/2020,VHM,49770,52650,49770,51540,1095460
3/18/2020,VHM,51390,51840,49770,51250,1707750
3/19/2020,VHM,49620,51100,47930,50510,1482170
3/20/2020,VHM,50510,50510,47040,47040,1351550
3/23/2020,VHM,44240,45720,43800,43800,198200
3/24/2020,VHM,40850,43060,40780,40780,2036510
3/25/2020,VHM,42030,43580,39820,43580,1832290
3/26/2020,VHM,43580,46450,42180,44980,2020820
3/27/2020,VHM,44240,45270,43140,44240,710770
3/30/2020,VHM,41140,42030,41140,41140,929820
3/31/2020,VHM,41140,42690,38340,40550,661010
4/1/2020,VHM,39230,42250,39230,40410,553900
4/3/2020,VHM,41440,42550,40700,42550,940470
4/6/2020,VHM,44240,45490,43210,45490,534020
4/7/2020,VHM,48300,48670,45790,48670,902670
4/8/2020,VHM,47560,51610,47190,51610,950920
4/9/2020,VHM,51610,52280,50730,50880,854470
4/10/2020,VHM,50510,51020,49400,49480,513310
4/13/2020,VHM,50140,51250,49480,49620,449470
4/14/2020,VHM,50140,50800,49030,50140,642490
4/15/2020,VHM,50430,50880,49770,49990,533620
4/16/2020,VHM,49840,50290,49260,49770,670940
4/17/2020,VHM,49770,51020,49770,50510,734070
4/20/2020,VHM,51170,51170,50140,50510,512370
4/21/2020,VHM,50140,50360,48740,50140,1213590
4/22/2020,VHM,48080,50140,48080,48220,1303590
4/23/2020,VHM,49400,49700,48370,49110,1093030
4/24/2020,VHM,49110,49260,47410,47930,2147870
4/27/2020,VHM,48300,49330,47190,47560,1235530
4/28/2020,VHM,49400,50510,47560,47630,3631100
4/29/2020,VHM,46900,47930,46670,46900,2701200
5/4/2020,VHM,46900,47850,46900,47850,1577040
5/5/2020,VHM,47710,48300,46750,46900,2397120
5/6/2020,VHM,46900,49770,46750,49400,4286630
5/7/2020,VHM,49770,50140,48810,49840,1474450
5/8/2020,VHM,50140,53310,49990,52280,3635800
5/11/2020,VHM,54200,54490,52200,54200,2792640
5/12/2020,VHM,54050,54490,53090,54200,1769100
5/13/2020,VHM,53530,53830,52280,52650,3373310
5/14/2020,VHM,52280,52650,51910,52060,2268270
5/15/2020,VHM,52350,53090,51980,52790,1556450
5/18/2020,VHM,52570,53530,52280,53020,1656080
5/19/2020,VHM,53830,55080,53310,53970,3688710
5/20/2020,VHM,53750,56850,53680,56850,4298310
5/21/2020,VHM,57140,57880,56630,57510,2266430
5/22/2020,VHM,56780,57070,55740,56410,2154460
5/25/2020,VHM,56330,57880,55150,56630,4664450
5/26/2020,VHM,57140,57440,56330,56330,2996560
5/27/2020,VHM,56410,57220,55010,55080,3769070
5/28/2020,VHM,55230,56040,54860,55300,4347270
5/29/2020,VHM,55740,56850,55670,56480,3942120
6/1/2020,VHM,57070,58620,57000,58320,3254070
6/2/2020,VHM,58320,58400,57290,57370,2635920
6/3/2020,VHM,57510,57730,57070,57440,2655470
6/4/2020,VHM,57510,58030,56780,57140,3127800
6/5/2020,VHM,56850,57440,56480,57000,2191420
6/8/2020,VHM,57510,58030,57140,57370,2663380
6/9/2020,VHM,57510,58030,57070,57220,2837400
6/10/2020,VHM,57220,57370,56700,57140,3218980
6/11/2020,VHM,57140,57960,56410,56410,5714800
6/12/2020,VHM,54200,55740,54200,55300,3152190
