,count,mean,std,min,25%,median,75%,max,missing,skew
rsi_28,56379.0,52.05412193637307,14.017048935737629,0.0,42.16050827927817,52.22929936305732,62.1670551772164,97.85575048732943,333,-0.05701236409814482
stochastic_k,56712.0,52.24428662815604,30.100824220089937,0.0,26.373626373626372,54.08947970268725,78.92622662346331,100.00000000000001,0,-0.13317798971125455
stochastic_d,56712.0,52.28852431014053,27.990777567805782,0.0,27.120053956336253,54.154727793696274,77.83933980127527,100.0,0,-0.13179972493447276
volume_ratio,56712.0,1.0585185414101321,0.6568798905521299,0.0012296719849980019,0.6636127255687322,0.9157740056253408,1.2715003929349704,15.825125385219652,0,3.764165939317899
volatility_20d,56669.0,0.02596346785247581,0.011009630102065654,0.001970067231601967,0.017761928046991178,0.024514282384425948,0.03269833855942066,0.13105614776507185,43,0.9425649690620702
sma20_gap,56712.0,0.005255466341869712,0.08210276281307297,-0.5265044331258253,-0.033766741311251375,0.00657147129845854,0.047544917152851134,0.5561263030669286,0,-0.04950501366965917
sma_cross,56712.0,0.015924146626044224,0.10815575255471122,-0.6094908709660921,-0.03568662365575822,0.014585824748020192,0.07252242483321111,0.6553642138021527,0,-0.03052994868929282
ret_5d_rank,56712.0,0.5176516476266063,0.2983327394060996,0.01,0.25510204081632654,0.5252525252525253,0.7835051546391752,1.0,0,-0.04840604774189406
momentum_vol,56669.0,0.00013033612933954693,0.0026656557557857606,-0.04179124859982797,-0.0006747780110503983,5.4002384591173e-05,0.0009413882720944337,0.11732930671246583,43,2.639128451210721
ret_1d,56712.0,0.0006230360993862061,0.029475599476640163,-0.1694915254237288,-0.012915805097027555,0.0,0.014824598663738753,0.24301675977653625,0,-0.039966944617655355
ret_3d,56712.0,0.00232754659888431,0.054117872196691605,-0.33895582329317264,-0.023318689634152734,0.0019166271769835985,0.02892990787406835,0.5810055865921788,0,0.04713615376658653
ret_5d,56712.0,0.004207020819586845,0.07077674252374344,-0.3819742489270386,-0.030172413793103425,0.0031742433238692858,0.03947368421052633,0.9497206703910615,0,0.16197312763688013
ret_10d,56712.0,0.008018013100289946,0.10244805025975089,-0.5111242954612875,-0.04461109522447815,0.0056264073932597025,0.059225512528473745,0.8727272727272728,0,0.3202450480696525
sma_5,56712.0,29652.790884546903,24300.506337553958,1296.0,13295.5,21746.0,39050.0,223040.0,0,2.0035959091662963
sma_10,56712.0,29633.039621783624,24234.856778807265,1297.0,13300.0,21749.0,39070.75,214860.0,0,1.9835538188168946
sma_20,56712.0,29580.378770979554,24129.073353179807,1309.0,13269.5,21720.25,38988.25,210010.0,0,1.9566096090609777
sent_pos_mean,56712.0,0.34184801905309936,0.29822849110081034,0.0015498984,0.061537422,0.33,0.33,0.98828584,0,0.9742167960068685
sent_pos_std,56712.0,0.31024705760741345,0.12828360004588857,7.212489168074671e-06,0.33,0.33,0.33,0.6969225296115366,0,-0.45222084173462795
sent_pos_max,56712.0,0.3703561871677246,0.32520109039204287,0.0015498984,0.06594125,0.33,0.33,0.98828584,0,0.8473309147705852
sent_neu_mean,56712.0,0.14321324183025025,0.26454516596604494,0.0,0.0,0.00805660025,0.1232453,0.99286264,0,2.1283608611552527
sent_neg_mean,56712.0,0.3782480917621466,0.25795907470006774,0.0050421045,0.2665263025,0.33,0.51719236,0.91335833,0,0.4842281869410475
sent_neg_std,56712.0,0.3100656465537115,0.10359432138032947,6.148293462417316e-06,0.33,0.33,0.33,0.6286310276279622,0,-1.135336388982755
sent_neg_max,56712.0,0.4059793767004408,0.27746483004155975,0.0050421045,0.31706002,0.33,0.6746484,0.91335833,0,0.3729887086149956
sent_score_mean,56712.0,-0.03640007274316266,0.5023381574736043,-0.8797988,-0.37757444,0.0,0.0,0.98058045,0,0.43177660652617417
sent_score_std,56712.0,0.11974750204714127,0.2812554918694497,0.0,0.0,0.0,0.0024559685272511128,1.3025138133373653,0,2.491940148856156
sent_score_min,56712.0,-0.08777473740949782,0.522916588836713,-0.8797988,-0.56558293,0.0,0.0,0.98058045,0,0.4820745056950813
sent_score_max,56712.0,0.01669422960354352,0.5368219402992884,-0.8797988,-0.27403802,0.0,0.0,0.98058045,0,0.37697333366597313
news_count,56712.0,0.23665185498659896,0.6444762801084705,0.0,0.0,0.0,0.0,30.0,0,5.742834839430363
